term,npar,AIC,BIC,logLik,deviance,statistic,df,p.value
GLMM_model2,3,709.5863020584175,717.6047885618032,-351.79315102920873,703.5863020584175,NA,NA,NA
GLMM_model1,8,716.5475948249795,737.9302255006747,-350.2737974124897,700.5475948249795,3.0387072334380036,5,0.6940181886343237
