Distrecorr,Sitio,TS,Sexo,DOSEL,Temporada,HOJA,HUM,ID
4.23,Conservado,-2.1200105109488505,Macho,0.8370516478223736,Secas,1.3245978115004264,-1.1085865683468035,1
4.23,Conservado,-2.1739048147434636,Macho,0.07867293218313418,Secas,1.5915130013884595,-2.4709766465984253,1
15.13,Conservado,-2.0122219033596247,Macho,1.140403134078069,Secas,1.8584281912764926,-2.4709766465984253,1
8.64,Conservado,-2.2277991185380763,Macho,-0.07300281094471248,Secas,1.3245978115004264,-2.0168466205145514,1
18.6,Perturbado,-1.7966446881811715,Macho,-0.2246785540725612,Secas,-1.3445540873799056,-0.6544565422629294,3
5.49,Perturbado,-2.1200105109488505,Macho,-0.6038679118921799,Secas,-1.3445540873799056,-1.1085865683468035,3
3.09,Perturbado,-1.9583275995650107,Macho,0.07867293218313418,Secas,-0.27689332782777276,-1.5627165944306773,3
6.59,Perturbado,-0.5031813971104548,Macho,-0.37635429720040786,Secas,1.3245978115004264,-0.29115252139583014,4
4.5,Perturbado,-0.8804415236727468,Macho,-0.6797057834561032,Secas,1.3245978115004264,0.4354555203383683,4
7.37,Perturbado,-0.9882301312619728,Macho,-0.37635429720040786,Secas,1.3245978115004264,-0.018674505745505728,4
15.8,Conservado,-1.0421244350565868,Macho,-0.2246785540725612,Lluvias,1.5915130013884595,-2.4709766465984253,5
12.25,Conservado,-0.5570757009050689,Macho,0.07867293218313418,Lluvias,0.7907674317243599,-1.199412573563578,5
6.9,Conservado,0.5747046787818089,Macho,0.2303486753109829,Lluvias,1.5915130013884595,-0.6544565422629294,5
7.87,Conservado,-0.8804415236727468,Macho,0.8370516478223736,Lluvias,0.7907674317243599,-0.10950051096228053,5
9.1,Conservado,-0.01813266295893693,Macho,-0.6797057834561032,Lluvias,0.7907674317243599,-1.199412573563578,6
6.45,Conservado,0.035761640835677025,Macho,-0.37635429720040786,Lluvias,0.7907674317243599,-1.1085865683468035,6
6.25,Conservado,-0.5031813971104548,Macho,-0.07300281094471248,Lluvias,1.0576826216123931,-0.7452825474797041,6
17.65,Conservado,-0.17981557434277495,Macho,0.8370516478223736,Lluvias,1.3245978115004264,0.3446295151215935,6
29.88,Conservado,-0.17981557434277495,Macho,0.8370516478223736,Lluvias,1.3245978115004264,0.5262815255551431,6
12.35,Conservado,-0.2876041819320029,Macho,1.4437546203337666,Lluvias,-0.8107237076038392,0.5262815255551431,6
3.36,Conservado,-0.9882301312619728,Hembra,-0.2246785540725612,Lluvias,0.2569370519482936,-0.10950051096228053,7
8.03,Conservado,-1.0421244350565868,Hembra,-0.07300281094471248,Lluvias,-0.27689332782777276,-1.199412573563578,7
4.55,Conservado,1.0058591091387148,Hembra,0.15451080374705958,Lluvias,-0.27689332782777276,-0.29115252139583014,7
12.47,Conservado,-0.6109700046996809,Hembra,0.2303486753109829,Lluvias,0.2569370519482936,0.07215149947126907,7
11.06,Conservado,-0.5570757009050689,Macho,-0.2246785540725612,Lluvias,1.3245978115004264,0.07215149947126907,8
5.8,Conservado,0.3591274636033569,Macho,-0.37635429720040786,Lluvias,0.7907674317243599,0.5262815255551431,8
10.77,Conservado,-1.4193845616188787,Macho,0.2303486753109829,Lluvias,0.2569370519482936,-0.20032651617905534,8
3.04,Perturbado,-1.0421244350565868,Hembra,-0.5280300403282566,Lluvias,-1.3445540873799056,-0.836108552696479,11
7.5,Perturbado,1.1136477167279408,Hembra,-0.6797057834561032,Lluvias,-0.8107237076038392,-0.6544565422629294,11
3.5,Perturbado,1.1675420205225548,Hembra,-0.2246785540725612,Lluvias,-1.3445540873799056,-0.9269345579132537,11
14.18,Perturbado,0.520810374987195,Hembra,-1.058895141275724,Lluvias,-1.878384467155972,-0.6544565422629294,13
13.27,Perturbado,0.19744455221951698,Hembra,-0.5280300403282566,Lluvias,-1.3445540873799056,-1.290238578780353,13
8.48,Perturbado,0.46691607119258294,Hembra,-0.07300281094471248,Lluvias,0.2569370519482936,-0.6544565422629294,13
7.81,Perturbado,0.6285989825764229,Hembra,0.5337001615666783,Lluvias,0.7907674317243599,-1.3810645839971278,13
4.59,Perturbado,0.3591274636033569,Hembra,-0.5280300403282566,Lluvias,-0.8107237076038392,-0.9269345579132537,13
3.18,Perturbado,1.3292249319063927,Hembra,-1.1347330128396473,Lluvias,-0.8107237076038392,-0.20032651617905534,13
11.74,Perturbado,1.4909078432902327,Hembra,-8.263492939848494,Lluvias,-1.3445540873799056,-0.47280453182937976,13
2.39,Perturbado,0.9519648053441009,Hembra,-0.37635429720040786,Lluvias,-1.3445540873799056,-1.6535425996474522,14
10.01,Perturbado,-0.6109700046996809,Hembra,0.2303486753109829,Lluvias,-1.3445540873799056,-1.0177605631300286,14
1.53,Perturbado,2.4071110077986564,Hembra,-0.8313815265839519,Lluvias,-0.8107237076038392,-1.5627165944306773,14
26.64,Perturbado,0.25133885601412903,Hembra,-0.37635429720040786,Lluvias,-1.3445540873799056,-1.290238578780353,14
6.72,Perturbado,0.305233159808743,Hembra,-0.2246785540725612,Lluvias,-0.8107237076038392,-1.5627165944306773,14
14.72,Perturbado,0.520810374987195,Hembra,-0.07300281094471248,Lluvias,-1.0776388974918722,-1.199412573563578,14
1.53,Perturbado,1.6525907546740728,Hembra,-0.07300281094471248,Lluvias,-1.3445540873799056,-1.4718905892139025,14
8.12,Perturbado,0.7902818939602609,Hembra,-0.5280300403282566,Lluvias,-0.8107237076038392,-0.20032651617905534,15
6.45,Perturbado,1.8142736660579126,Hembra,-0.37635429720040786,Lluvias,-0.8107237076038392,-0.38197852661260495,15
14,Conservado,0.305233159808743,Macho,-0.07300281094471248,Lluvias,-0.27689332782777276,1.071237556855792,16
26.3,Conservado,0.6285989825764229,Macho,0.5337001615666783,Lluvias,-0.8107237076038392,0.9804115516390172,16
4.59,Conservado,0.8441761977548748,Macho,-0.37635429720040786,Lluvias,-0.8107237076038392,0.9804115516390172,16
4.24,Conservado,-0.23370987813738892,Macho,0.2303486753109829,Lluvias,0.7907674317243599,0.9804115516390172,16
14.61,Conservado,0.46691607119258294,Macho,-0.07300281094471248,Lluvias,-0.27689332782777276,0.2538035099048187,16
3.32,Conservado,0.3591274636033569,Macho,-0.2246785540725612,Lluvias,0.7907674317243599,0.7079335359886927,16
9.26,Conservado,-0.9882301312619728,Macho,-0.2246785540725612,Lluvias,0.7907674317243599,0.7079335359886927,16
4.9,Conservado,0.6285989825764229,Hembra,0.8370516478223736,Lluvias,-0.8107237076038392,0.9804115516390172,17
16.86,Conservado,0.25133885601412903,Hembra,-0.37635429720040786,Lluvias,-1.0776388974918722,0.9804115516390172,17
19.09,Conservado,0.413021767397969,Hembra,0.5337001615666783,Lluvias,-1.0776388974918722,0.4354555203383683,17
16.86,Conservado,0.305233159808743,Hembra,0.9887273909502223,Lluvias,0.2569370519482936,0.4354555203383683,17
23.67,Conservado,0.8980705015494889,Hembra,0.5337001615666783,Lluvias,0.7907674317243599,0.7079335359886927,17
8.43,Conservado,0.25133885601412903,Hembra,-0.5280300403282566,Lluvias,1.8584281912764926,0.7079335359886927,17
7.66,Conservado,-0.7726529160835208,Hembra,-0.6797057834561032,Lluvias,1.3245978115004264,1.071237556855792,17
14.54,Conservado,-1.0960187388511997,Hembra,-0.5280300403282566,Lluvias,-1.3445540873799056,1.071237556855792,17
5.45,Conservado,-1.0960187388511997,Hembra,-0.5280300403282566,Lluvias,-1.3445540873799056,1.071237556855792,17
1.53,Conservado,0.8980705015494889,Hembra,-0.2246785540725612,Lluvias,0.2569370519482936,0.9804115516390172,18
23.54,Conservado,0.413021767397969,Hembra,-0.5280300403282566,Lluvias,-1.3445540873799056,0.7079335359886927,18
7.66,Conservado,0.7902818939602609,Hembra,-0.2246785540725612,Lluvias,0.2569370519482936,0.9804115516390172,18
7.5,Conservado,0.520810374987195,Hembra,-0.2246785540725612,Lluvias,0.2569370519482936,0.9804115516390172,18
4.55,Conservado,0.7902818939602609,Hembra,-0.2246785540725612,Lluvias,0.2569370519482936,0.9804115516390172,18
20.36,Conservado,0.46691607119258294,Hembra,-0.5280300403282566,Lluvias,-1.3445540873799056,1.071237556855792,18
16.72,Conservado,-0.01813266295893693,Hembra,-0.37635429720040786,Lluvias,-0.27689332782777276,0.7079335359886927,18
6.38,Conservado,0.6285989825764229,Hembra,-0.2246785540725612,Lluvias,0.2569370519482936,0.9804115516390172,18
15.21,Conservado,-0.23370987813738892,Hembra,-0.2246785540725612,Lluvias,-1.3445540873799056,1.071237556855792,18
9.81,Conservado,0.25133885601412903,Hembra,-0.37635429720040786,Lluvias,-0.8107237076038392,0.4354555203383683,18
8.48,Conservado,-0.12592127054816293,Hembra,0.2303486753109829,Lluvias,-0.27689332782777276,1.071237556855792,18
6.25,Conservado,-0.9343358274673608,Hembra,0.9887273909502223,Lluvias,-0.8107237076038392,1.071237556855792,18
9.79,Conservado,-0.8804415236727468,Hembra,-0.37635429720040786,Lluvias,-0.27689332782777276,1.071237556855792,18
6.13,Conservado,0.5747046787818089,Hembra,0.3820244184388316,Lluvias,-0.8107237076038392,1.071237556855792,19
19.2,Conservado,0.413021767397969,Hembra,0.3820244184388316,Lluvias,-0.8107237076038392,1.071237556855792,19
29.95,Conservado,-0.6648643084942948,Hembra,0.5337001615666783,Lluvias,0.2569370519482936,0.9804115516390172,19
33.73,Conservado,-1.0421244350565868,Hembra,0.5337001615666783,Lluvias,-0.27689332782777276,1.071237556855792,19
11.51,Conservado,-0.01813266295893693,Macho,-0.6797057834561032,Lluvias,0.2569370519482936,0.9804115516390172,20
6.72,Conservado,-0.23370987813738892,Macho,-0.2246785540725612,Lluvias,-0.27689332782777276,0.7079335359886927,20
8.43,Conservado,0.19744455221951698,Macho,-0.2246785540725612,Lluvias,-0.27689332782777276,0.7079335359886927,20
16.75,Conservado,-0.44928709331584094,Macho,-0.2246785540725612,Lluvias,-0.8107237076038392,1.071237556855792,20
10.73,Conservado,-0.39539278952122886,Macho,0.3820244184388316,Lluvias,-0.8107237076038392,1.071237556855792,20
10.77,Conservado,-0.6109700046996809,Macho,0.9887273909502223,Secas,-0.27689332782777276,0.07215149947126907,21
1,Conservado,-2.0122219033596247,Macho,0.9887273909502223,Secas,-0.27689332782777276,0.8895855464222423,21
1.2,Conservado,-1.8505389919757846,Macho,1.4437546203337666,Secas,-0.27689332782777276,0.9804115516390172,22
10.77,Conservado,1.7603793622632986,Macho,0.799132712040413,Lluvias,0.7907674317243599,-0.29115252139583014,23
8.81,Conservado,-0.5031813971104548,Macho,0.9508084551682597,Lluvias,-0.27689332782777276,-0.5636305370461545,23
4.55,Conservado,1.5986964508794588,Macho,0.9887273909502223,Lluvias,1.3245978115004264,-0.7452825474797041,23
